13 06 2023 10:54:20;!  /giacomo/#8013;mbarabacciciccoco;join
13 06 2023 10:54:20;karlitu#6735;mbarabacciciccoco;join
13 06 2023 10:54:20;karlitu#6735;mbarabacciciccoco;quit
13 06 2023 10:54:20;karlitu#6735;mbarabacciciccoco;join
13 06 2023 10:54:22;karlitu#6735;mbarabacciciccoco;quit
13 06 2023 10:54:22;karlitu#6735;mbarabacciciccoco;join
13 06 2023 10:54:22;karlitu#6735;mbarabacciciccoco;quit
13 06 2023 10:54:22;karlitu#6735;mbarabacciciccoco;join
13 06 2023 10:58:27;!  /giacomo/#8013;mbarabacciciccoco;quit
13 06 2023 10:58:27;karlitu#6735;mbarabacciciccoco;quit
13 06 2023 10:58:27;karlitu#6735;mbarabacciciccoco;join
13 06 2023 10:58:28;karlitu#6735;mbarabacciciccoco;quit
13 06 2023 10:58:28;karlitu#6735;mbarabacciciccoco;join
13 06 2023 10:58:29;karlitu#6735;mbarabacciciccoco;quit
13 06 2023 10:58:30;!  /giacomo/#8013;mbarabacciciccoco;join
13 06 2023 10:58:30;karlitu#6735;mbarabacciciccoco;join
13 06 2023 10:58:32;!  /giacomo/#8013;mbarabacciciccoco;quit
13 06 2023 10:58:32;karlitu#6735;mbarabacciciccoco;quit
13 06 2023 10:58:32;!  /giacomo/#8013;mbarabacciciccoco;join
13 06 2023 10:58:33;karlitu#6735;mbarabacciciccoco;join
13 06 2023 10:58:52;!  /giacomo/#8013;mbarabacciciccoco;quit
13 06 2023 10:58:52;karlitu#6735;mbarabacciciccoco;quit
13 06 2023 10:58:53;!  /giacomo/#8013;mbarabacciciccoco;join
13 06 2023 10:58:53;karlitu#6735;mbarabacciciccoco;join
